SMILES,IC50
CC=C(C)C(=O)C1=C(C2=C(C3=C1OC(=O)C=C3C4=CC=CC=C4)OC(C=C2)(C)C)OC,8.403361345
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC(=O)C)C)C)C2C1C)C)C(=O)O,8.4
C1CN2CC3=CC4=C(C=C3C5C2C1=CC(C5O)O)OCO4,8.4
CC(C)C(=O)C12C(=O)C(=C(C(C1=O)(CC(C2(C)CCC=C(C)C)CC=C(C)C)CC=C(C)C)O)CC=C(C)C,8.383010432
CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OCC)O,8.374689826
CCCCCCC=CCCCCCCCCCC1=C(C=CC(=C1)O)O,8.369408369
CC(C)C=CC1=C(C=C2C(=C1O)C(=O)C3=C(O2)C4=C(C=C(C=C4)O)OC(C3)C(C)(C)OO)OC,8.324439701
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C(=O)O)C)C,8.320560543
CC(=CCC1=C(C=C2C(=C1O)C(=O)C3=C(C(=C(C=C3O2)O)OC)CCC(C)(C)O)O)C,8.308051342
CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CCC(C)(C)O)O)C,8.308051342
CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C(=O)O)C)C)C)C,8.3
CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)CO)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O,8.3
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,8.3
CC(=CCCC1(C(CC2(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C(=O)C1(C2=O)CC=C(C)C)CC=C(C)C)CC=C(C)C)C)C,8.3
CC1C(C(OC1C2=CC3=C(C=C2)OCO3)C4=CC(=C(C=C4)OC)OC)C,8.3
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,8.3
CC(C)C1=C(C2=C(C3=C1OCO3)C4(CCCC(C4C2C=O)(C)C)C)O,8.3
COC1=CC2CCN3C2C(C1O)C4=CC5=C(C=C4C3)OCO5,8.3
COC1=C(C=C2C(=C1)OC3=C(C2=O)C(=C(C(=C3)O)O)O)Cl,8.3
COC1CC2C3(C=C1)C(CN2CC4=CC5=C(C=C34)OCO5)O,8.3
CC(=CCC1CC23CC(C(OC2=C(C(=O)C(C3=O)(C1(C)C)CC=C(C)C)C(=O)C4=CC(=C(C=C4)O)O)(C)C)CCC(=C)C)C,8.294625083
